COD_S11,GENDER,STRATUM,SISBEN,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,SCHOOL_NAT,SEL,SEL_IHE
SB11201210000129,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201210000137,F,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210005154,M,Stratum 2,Level 2,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,1,1
SB11201210007504,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201210007548,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,2
SB11201210007568,F,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,2
SB11201210007598,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,2,2
SB11201210007615,F,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10 or more LMMW,PRIVATE,4,4
SB11201210010208,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,3,2
SB11201210013577,M,Stratum 2,Level 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201210015404,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,2,4
SB11201210016082,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201210017060,F,Stratum 3,It is not classified by the SISBEN,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201210019041,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210023458,F,Stratum 1,Level 1,No,No,No,No,No,No,No,No,Yes,No,less than 1 LMMW,PRIVATE,1,2
SB11201210024129,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201210024212,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,1
SB11201210024226,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,1
SB11201210024293,M,Stratum 2,Level 2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,2,1
SB11201210024453,M,Stratum 3,It is classified in another Level of the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Between 3 and less than 5 LMMW,PRIVATE,2,2
SB11201210024457,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,4,2
SB11201210024464,M,Stratum 2,It is not classified by the SISBEN,Yes,No,Yes,No,No,No,No,No,Yes,Yes,less than 1 LMMW,PRIVATE,1,2
SB11201210033482,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,3
SB11201210034473,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201210034479,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,1,2
SB11201210034510,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201210034773,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,3,2
SB11201210034995,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,2
SB11201210035092,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,3
SB11201210035156,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,3
SB11201210035276,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,2,3
SB11201210035394,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,2
SB11201210035645,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,2,2
SB11201210035831,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,3,4
SB11201210035865,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,4
SB11201210035904,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,2
SB11201210035990,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,2,2
SB11201210035993,M,Stratum 3,It is not classified by the SISBEN,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,2
SB11201210036005,F,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,2
SB11201210036024,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210036284,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201210036425,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,3
SB11201210036456,F,Stratum 3,It is not classified by the SISBEN,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,2,2
SB11201210036779,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,3
SB11201210036848,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,3,2
SB11201210036861,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,2,2
SB11201210036877,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210036911,F,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201210037059,M,Stratum 4,It is not classified by the SISBEN,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PRIVATE,2,3
SB11201210037082,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,3
SB11201210037275,F,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,4,2
SB11201210037357,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201210037436,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201210037523,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,3
SB11201210037798,M,Stratum 3,It is not classified by the SISBEN,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,4,2
SB11201210037866,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201210038129,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201210038205,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,3
SB11201210038274,F,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,3,3
SB11201210038359,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,3,2
SB11201210038682,M,Stratum 3,It is not classified by the SISBEN,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201210038861,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,3
SB11201210039098,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,2
SB11201210039571,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,2
SB11201210039622,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201210047391,M,Stratum 5,It is not classified by the SISBEN,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Between 3 and less than 5 LMMW,PRIVATE,2,2
SB11201210048622,M,Stratum 2,It is not classified by the SISBEN,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,2,3
SB11201210048704,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201210048792,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,2,2
SB11201210048818,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201210048827,F,Stratum 2,Level 1,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201210048937,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,2
SB11201210048989,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210051179,F,Stratum 2,Level 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201210051419,F,Stratum 2,Level 2,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201210053261,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,4
SB11201210053277,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,4
SB11201210053329,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,4
SB11201210053371,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,4
SB11201210053386,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,1,2
SB11201210053432,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,2,2
SB11201210053437,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,2
SB11201210053537,M,Stratum 6,It is not classified by the SISBEN,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 7 and less than 10 LMMW,PRIVATE,2,4
SB11201210053568,F,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,3,2
SB11201210053574,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,2
SB11201210053786,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,3,2
SB11201210053799,F,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210053825,F,Stratum 1,It is not classified by the SISBEN,No,No,No,Yes,No,No,No,Yes,Yes,No,less than 1 LMMW,PRIVATE,2,2
SB11201210053890,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,4
SB11201210053912,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,2
SB11201210054706,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210054712,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10 or more LMMW,PRIVATE,4,4
SB11201210054864,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201210054887,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,2,3
SB11201210055143,F,Stratum 2,Level 1,No,No,No,No,No,Yes,Yes,No,No,Yes,Between 1 and less than 2 LMMW,PRIVATE,1,2
SB11201210055580,M,Stratum 2,Level 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201210056012,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,3,2
SB11201210056040,F,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210056461,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,2,4
SB11201210056474,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,4
SB11201210056571,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210056780,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210057000,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,4
SB11201210057063,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,4
SB11201210057105,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,4
SB11201210057316,F,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,4
SB11201210057738,F,Stratum 3,It is not classified by the SISBEN,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PUBLIC,4,2
SB11201210057801,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,2
SB11201210057900,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,3,4
SB11201210057946,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,2
SB11201210058206,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,4
SB11201210058706,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210058734,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201210058839,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,4
SB11201210058850,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201210058879,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201210058989,M,Stratum 3,Level 2,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201210059017,M,Stratum 6,It is not classified by the SISBEN,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,4
SB11201210059108,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210059903,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,3,2
SB11201210060051,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210060069,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210071393,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210071483,F,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,4
SB11201210071503,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210071542,M,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210077469,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,3,2
SB11201210081023,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201210081048,F,Stratum 3,It is not classified by the SISBEN,No,No,No,No,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,1
SB11201210081170,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,2,2
SB11201210082710,F,Stratum 2,Level 1,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201210085748,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,3
SB11201210085752,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,2
SB11201210085778,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210085786,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,4
SB11201210085819,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PRIVATE,2,4
SB11201210085842,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,4
SB11201210085909,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210085995,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210086016,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,4
SB11201210086380,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201210087411,M,Stratum 1,Level 2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201210088079,F,Stratum 2,It is not classified by the SISBEN,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,3
SB11201210088391,M,Stratum 2,Level 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Between 1 and less than 2 LMMW,PRIVATE,1,1
SB11201210088475,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,4
SB11201210088720,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201210089343,F,Stratum 5,It is not classified by the SISBEN,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,3,2
SB11201210089840,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,3,2
SB11201210090046,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,2,2
SB11201210091075,F,Stratum 1,Level 1,No,No,No,No,No,No,No,No,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,2,2
